AgentID,Rturn_front_orientation_unwrapped
Larva_1,-21.689840500717878
Larva_1,-4.284100156309819
Larva_1,-0.3233602426301445
Larva_1,-1.4582100287300364
Larva_1,-0.04913452649657302
Larva_1,-1.1027186221525653
Larva_1,-7.616478791040834
Larva_1,-6.18806835524299
Larva_1,-0.00341123760733808
Larva_1,-0.5986919331836589
Larva_1,-3.2482338563292217
Larva_1,-2.7521304323609
Larva_1,-5.441745686500866
Larva_1,-6.7860867368473805
Larva_1,-0.8783733752748049
Larva_1,-9.975125335506192
Larva_1,-12.821181519792958
Larva_1,-18.659801052460466
Larva_1,-21.244622395851707
Larva_1,-10.778327468723319
Larva_1,-11.222506063850801
Larva_1,-2.042647100771262
Larva_1,-6.496731842036411
Larva_1,-2.863332721850952
Larva_1,-0.603455694381978
Larva_1,-4.220789990048161
Larva_1,-5.20427345717917
Larva_1,-1.314042145561416
Larva_1,-5.1101370950097476
Larva_1,-7.099836512214267
Larva_1,-7.530160350497567
Larva_1,-7.198588312155152
Larva_1,-9.023344299365021
Larva_1,-34.67346113142614
Larva_1,-3.0461181730804583
Larva_1,-7.954361367429897
Larva_1,-44.64380112530097
Larva_1,-3.165448544251035
Larva_1,-0.3416699901474942
Larva_1,-23.89260115376908
Larva_1,-0.6232916834824209
Larva_1,-29.567397730924654
Larva_1,-3.477952796973341
Larva_1,-2.703741594232099
Larva_1,-0.9753208377312603
Larva_1,-0.46002495735211824
Larva_1,-11.753533984021033
Larva_1,-0.24989365881219783
Larva_1,-5.744995534892837
Larva_1,-0.6160594490592075
Larva_1,-7.160193527531078
Larva_1,-3.37665040431321
Larva_1,-0.3017975638174448
Larva_1,-3.0043642377162314
Larva_1,-0.47358550568733904
Larva_1,-1.7515764731143832
Larva_1,-5.936205600957578
Larva_1,-0.7567729236513401
Larva_1,-9.143538121844927
Larva_1,-5.744579306891069
Larva_1,-10.154506869661532
Larva_1,-0.5333925443854355
Larva_1,-3.5816274191159323
Larva_1,-0.6732888065943143
Larva_1,-1.927230913775702
Larva_1,-1.6838472079931535
Larva_1,-79.03720948561013
Larva_1,-7.359760647511166
Larva_1,-0.5000405296484587
Larva_1,-6.030536250198338
Larva_1,-4.56091310444674
Larva_1,-5.633962994827755
Larva_1,-0.9198065963202282
Larva_1,-3.461095891425771
Larva_1,-0.5326521268142415
Larva_1,-1.7230969581442253
Larva_1,-2.615381014893046
Larva_1,-1.822770150341512
Larva_1,-3.975565924877941
Larva_1,-0.14999717178670835
Larva_1,-0.014672633696818593
Larva_1,-14.226987946193503
Larva_10,-1.2505552260777435
Larva_10,-9.00635698576653
Larva_10,-29.897609073313816
Larva_10,-1.0610174986683774
Larva_10,-44.608380614472175
Larva_10,-1.215302732376614
Larva_10,-2.483089806229387
Larva_10,-4.658804048934783
Larva_10,-0.9543732821494189
Larva_10,-16.295464881573604
Larva_10,-2.1641125044755256
Larva_10,-10.016593505997022
Larva_10,-189.63461189909637
Larva_10,-10.988072869619259
Larva_10,-0.2687038469096592
Larva_10,-45.86851691873083
Larva_10,-3.8238423073019305
Larva_10,-10.41606832444873
Larva_10,-8.096528189084921
Larva_10,-0.7259555104320725
Larva_10,-40.75679994748961
Larva_10,-2.960990346726927
Larva_10,-40.16113516219487
Larva_10,-2.7513381073382845
Larva_10,-2.8385246589079003
Larva_10,-2.9617692313247517
Larva_10,-13.843048694956636
Larva_10,-30.45749500351326
Larva_10,-5.918902044264939
Larva_10,-0.23356267032661293
Larva_10,-0.8294469487059075
Larva_10,-4.335130136773074
Larva_10,-60.98379034629693
Larva_10,-29.288422916497865
Larva_10,-34.02853725523535
Larva_10,-13.61657893803104
Larva_10,-0.7414376487325143
Larva_10,-0.4539005653055028
Larva_10,-54.20182593042442
Larva_10,-113.32838522067115
Larva_10,-17.612303216488066
Larva_10,-62.3523329665629
Larva_10,-0.8155302271632365
Larva_10,-45.46869574298894
Larva_10,-1.7843988029910332
Larva_10,-24.006820901068494
Larva_10,-5.72869676685383
Larva_10,-15.973048358354433
Larva_10,-2.2827111671579132
Larva_10,-0.5455780749708623
Larva_10,-0.8410305731375161
Larva_10,-2.5430327322288875
Larva_10,-0.2684651809820622
Larva_10,-23.624311950282653
Larva_10,-0.7626292521661924
Larva_10,-1.1810189738403096
Larva_10,-26.766451627444404
Larva_10,-2.7493757879704717
Larva_10,-1.7540342690338662
Larva_10,-0.15870529833748037
Larva_10,-42.37651917071865
Larva_10,-9.859891022212906
Larva_10,-34.460207617291864
Larva_10,-16.632418599389908
Larva_10,-8.551655201972991
Larva_10,-3.6740248817068917
Larva_10,-5.595259117326066
Larva_10,-0.509597942388325
Larva_10,-43.91980942192967
Larva_10,-28.002292618010372
Larva_10,-116.47119134519114
Larva_10,-84.95647665507553
Larva_10,-6.647916913710844
Larva_10,-2.479233016156968
Larva_10,-160.515727931788
Larva_10,-5.396688897949339
Larva_10,-36.45057254702789
Larva_10,-0.20885456188410245
Larva_10,-2.437454508660309
Larva_10,-5.850504370076237
Larva_10,-18.08969201079529
Larva_10,-41.56780183539121
Larva_10,-105.96899703848742
Larva_10,-14.386428875408512
Larva_10,-0.241300331467869
Larva_10,-1.7127955970405253
Larva_10,-7.048945465039765
Larva_10,-1.2016918408112147
Larva_10,-35.57064574796094
Larva_10,-32.962668898160615
Larva_10,-80.75054390448823
Larva_10,-28.002559031704358
Larva_10,-110.14317839280565
Larva_10,-13.373550378380969
Larva_10,-10.36255451865469
Larva_10,-3.1975801603716434
Larva_10,-0.45025830097153197
Larva_10,-24.964696765162756
Larva_10,-8.66741781571967
Larva_10,-42.83154217228781
Larva_10,-0.2665854984210334
Larva_10,-1.4917659061269646
Larva_10,-102.59101556903275
Larva_10,-5.916957243409506
Larva_10,-7.733307700141211
Larva_10,-16.163799686637255
Larva_10,-21.383108684483886
Larva_10,-0.5798647807677639
Larva_10,-0.08470386814668274
Larva_10,-5.461067839807356
Larva_10,-16.646228583684234
Larva_10,-41.39259959186055
Larva_10,-37.94568464213074
Larva_10,-131.78017521505288
Larva_10,-18.211027359856217
Larva_10,-47.416474837560656
Larva_10,-0.4524221856580084
Larva_10,-1.6595834913025982
Larva_10,-10.233974332108893
Larva_10,-16.825228441089678
Larva_10,-6.680874714899971
Larva_10,-13.289053655478853
Larva_10,-1.0921163301396746
Larva_10,-6.213698209237009
Larva_10,-11.73212333440756
Larva_10,-15.733027501326598
Larva_10,-2.3578818072719514
Larva_10,-7.677855160127677
Larva_10,-65.44252346974858
Larva_10,-7.703908885357972
Larva_10,-0.37729527689606357
Larva_10,-44.60305447293062
Larva_10,-2.790492664714691
Larva_10,-18.620717203225567
Larva_10,-0.10703101921708935
Larva_10,-24.591533842022315
Larva_10,-2.4520215843179756
Larva_10,-2.8406377794197226
Larva_10,-9.759578265184814
Larva_10,-10.6605434073807
Larva_10,-1.0976696083442903
Larva_10,-23.531530060679675
Larva_10,-27.491008645666028
Larva_10,-10.773493890573945
Larva_10,-37.03536763103476
Larva_10,-20.541567837277366
Larva_10,-0.18087112987362275
Larva_10,-10.611869253856426
Larva_10,-30.52029651377572
Larva_10,-0.5590515536759426
Larva_10,-33.64885883731335
Larva_10,-0.21969665032898433
Larva_10,-16.70996982771965
Larva_10,-29.08180968205361
Larva_10,-73.41140795189048
Larva_10,-3.5727168967201806
Larva_10,-30.679743205844957
Larva_10,-22.115715124943975
Larva_10,-86.06108487371748
Larva_10,-3.792121543637762
Larva_10,-4.261138053373855
Larva_10,-56.84897355773769
Larva_10,-65.64408749388406
Larva_10,-2.683589674355673
Larva_10,-1.304103706461376
Larva_10,-5.889552946862182
Larva_10,-0.6028021571932811
Larva_10,-2.087786994102089
Larva_10,-18.035866004788318
Larva_10,-1.2247613189925843
Larva_10,-1.179623759955831
Larva_10,-10.793328202020902
Larva_10,-70.81594190365146
Larva_10,-12.473856509211686
Larva_10,-38.97999844793517
Larva_10,-29.781169070826962
Larva_10,-5.745184471788519
Larva_10,-0.5503713453018264
Larva_10,-65.07688229899509
Larva_10,-25.668508758313664
Larva_10,-0.2790150822121831
Larva_10,-3.679091574002342
Larva_10,-2.517997899128754
Larva_10,-13.035054144414673
Larva_10,-12.926746194139056
Larva_10,-8.124358782829349
Larva_10,-4.262430873214413
Larva_10,-45.71509806720526
Larva_10,-0.3880955859870596
Larva_10,-12.658997063954757
Larva_10,-48.871925844653376
Larva_10,-13.814346844812178
Larva_10,-1.9850323899699305
Larva_10,-0.17207352523945474
Larva_10,-1.7401332727181398
Larva_10,-2.720265419775501
Larva_10,-1.2173620597456325
Larva_10,-28.351648313555444
Larva_10,-0.7778669605172581
Larva_10,-0.6284292759449954
Larva_10,-3.3428459302538442
Larva_10,-4.711631928542232
Larva_10,-62.21894511737729
Larva_10,-85.13394272805755
Larva_10,-35.027904366161934
Larva_10,-15.515682222014703
Larva_10,-11.083201068129796
Larva_10,-10.594177935178351
Larva_100,-5.168119409527037
Larva_100,-0.15497393580059793
Larva_100,-26.60013163897048
Larva_100,-1.8908256795345153
Larva_100,-28.206475647529246
Larva_100,-8.399280590288143
Larva_100,-4.754342604717067
Larva_100,-24.07119325560319
Larva_100,-45.23897710016391
Larva_100,-9.433084425917002
Larva_100,-11.439545088415798
Larva_100,-0.08251974559090058
Larva_100,-6.9801847641363395
Larva_100,-9.303782741998475
Larva_100,-7.616654875230466
Larva_100,-2.0796167987661818
Larva_100,-30.54702617963818
Larva_100,-88.56265102189613
Larva_100,-15.726371070384232
Larva_100,-3.025974483132927
Larva_100,-4.892996064241004
Larva_100,-12.847390798298687
Larva_100,-10.568285290133417
Larva_100,-87.89851260393523
Larva_100,-11.93902000634182
Larva_100,-0.7504262951916303
Larva_100,-0.31906529863204014
Larva_100,-104.56064474111292
Larva_100,-37.244684542209995
Larva_100,-5.974718548663759
Larva_100,-0.08548574816927612
Larva_100,-23.642212616711276
Larva_100,-0.628936393725418
Larva_100,-2.797748231744748
Larva_100,-1.6559946087902517
Larva_100,-0.3894887122982027
Larva_100,-8.163551867707866
Larva_100,-9.312729359625962
Larva_100,-30.569258344414834
Larva_100,-22.20477783201727
Larva_100,-0.7945789179711689
Larva_100,-0.8187352622531989
Larva_100,-1.5674523049618188
Larva_100,-14.323124531958854
Larva_100,-5.225014048542619
Larva_100,-5.239892614444443
Larva_100,-16.361478302138522
Larva_100,-3.081433337321087
Larva_100,-2.6837389291489373
Larva_100,-0.019769130644874622
Larva_100,-4.4485064567936945
Larva_100,-5.644032797910938
Larva_100,-17.726468562827023
Larva_100,-11.371884630852776
Larva_100,-18.43163810319865
Larva_100,-1.9621142037239565
Larva_100,-32.54905040457854
Larva_100,-0.06979525575886214
Larva_100,-4.265998788437571
Larva_100,-12.686188159047163
Larva_100,-19.051090211106953
Larva_100,-0.54254091033539
Larva_100,-15.11463164526387
Larva_100,-1.1700582386518477
Larva_100,-13.4769343512788
Larva_100,-2.5694465969583007
Larva_100,-11.770518767958453
Larva_100,-12.782657389837794
Larva_100,-5.647570846150359
Larva_100,-1.7535514124512588
Larva_100,-6.99755195798673
Larva_100,-2.36475360470331
