AgentID,front_orientation_unwrapped_at_Lturn_stop
Larva_1,325.02928739386147
Larva_1,324.6779616823657
Larva_1,331.1260287154725
Larva_1,450.25179991822955
Larva_1,770.6887429002369
Larva_1,787.0591563015278
Larva_1,320.06522040173644
Larva_1,323.5918480011952
Larva_1,449.71664336691646
Larva_1,446.8046027022332
Larva_1,313.4316335528773
Larva_1,785.675745795361
Larva_1,448.66480905540845
Larva_1,314.0564291469736
Larva_1,450.88405701116835
Larva_1,332.44043352278817
Larva_1,910.1007921426191
Larva_1,384.90402369083023
Larva_1,157.5982307813779
Larva_1,915.915852872016
Larva_1,682.3014991393676
Larva_1,718.3129637441565
Larva_1,681.4901699548321
Larva_1,749.6350547402519
Larva_1,680.011241257514
Larva_1,203.61803394126778
Larva_1,138.35114606996325
Larva_1,950.1558772946556
Larva_1,210.42192414611526
Larva_1,756.629542178538
Larva_1,738.6799196650537
Larva_1,685.1678654825448
Larva_1,907.6204685971825
Larva_1,755.3055167363458
Larva_1,716.9684146042284
Larva_1,926.1552270425921
Larva_1,152.02525045161073
Larva_1,683.9752355635877
Larva_1,721.6691616456251
Larva_1,193.7075516972191
Larva_1,659.8559975655758
Larva_1,223.59103358909945
Larva_1,660.4330855082717
Larva_1,718.54881519214
Larva_1,909.2872490629827
Larva_1,930.4072327555223
Larva_1,203.71231494539185
Larva_1,138.77456039529963
Larva_1,683.74254194636
Larva_1,752.4454392729077
Larva_1,698.7577481766732
