shortcut,par,symbol,exp_symbol,unit,lim,collect
non_str_l,non_stride_length,${non_stride}_{l}$,${\hat{non_stride}}_{l}$,counts $(#)$,,
non_str_id,non_stride_id,${non_stride}_{id}$,${\hat{non_stride}}_{id}$,counts $(#)$,,
non_str_tr,non_stride_dur_ratio,${r}_{non_stride}$,${\hat{r}}_{non_stride}$,% time not crawling,,
non_str_N,num_non_strides,${N}_{non_strides}$,${\hat{N}}_{non_strides}$,# non_strides,,
pau_d,pause_dst,${d}_{pau}$,${\hat{d}}_{pau}$,distance $(mm)$,,
pau_sd,scaled_pause_dst,${d}_{pau}^{*}$,${\hat{d}}_{pau}^{*}$,scaled distance $(-)$,,
pau_std,pause_straight_dst,${d}_{pau}^{st}$,${\hat{d}}_{pau}^{st}$,distance $(mm)$,,
pau_sstd,scaled_pause_straight_dst,${d}_{pau}^{st*}$,${\hat{d}}_{pau}^{st*}$,scaled distance $(-)$,,
pau_t,pause_dur,${t}_{pause}$,${\hat{t}}_{pause}$,time $(sec)$,,pause_dur
pau_t_mu,pause_dur_mean,${\bar{t}}_{pause}$,${\bar{\hat{t}}}_{pause}$,time $(sec)$,,
pau_t_std,pause_dur_std,${\~{t}}_{pause}$,${\~{\hat{t}}}_{pause}$,time $(sec)$,,
cum_pau_t,cum_pause_dur,${t}_{pause}^{cum}$,${\hat{t}}_{pause}^{cum}$,time $(sec)$,,cum_pause_dur
pau_t_max,pause_dur_max,${t}_{pause}^{m}$,${\hat{t}}_{pause}^{m}$,time $(sec)$,,
pau0,pause_start,${t}_{pause}^{0}$,${\hat{t}}_{pause}^{0}$,time $(sec)$,,pause_start
pau1,pause_stop,${t}_{pause}^{1}$,${\hat{t}}_{pause}^{1}$,time $(sec)$,,pause_stop
pau_l,pause_length,${pause}_{l}$,${\hat{pause}}_{l}$,counts $(#)$,,
pau_id,pause_id,${pause}_{id}$,${\hat{pause}}_{id}$,counts $(#)$,,pause_id
pau_tr,pause_dur_ratio,${r}_{pause}$,${\hat{r}}_{pause}$,% time pausing,,pause_dur_ratio
pau_N,num_pauses,${N}_{pauses}$,${\hat{N}}_{pauses}$,# pauses,,num_pauses
tur_d,turn_dst,${d}_{tur}$,${\hat{d}}_{tur}$,distance $(mm)$,,
tur_sd,scaled_turn_dst,${d}_{tur}^{*}$,${\hat{d}}_{tur}^{*}$,scaled distance $(-)$,,
tur_std,turn_straight_dst,${d}_{tur}^{st}$,${\hat{d}}_{tur}^{st}$,distance $(mm)$,,
tur_sstd,scaled_turn_straight_dst,${d}_{tur}^{st*}$,${\hat{d}}_{tur}^{st*}$,scaled distance $(-)$,,
tur_t,turn_dur,${t}_{turn}$,${\hat{t}}_{turn}$,time $(sec)$,,
tur_t_mu,turn_dur_mean,${\bar{t}}_{turn}$,${\bar{\hat{t}}}_{turn}$,time $(sec)$,,
tur_t_std,turn_dur_std,${\~{t}}_{turn}$,${\~{\hat{t}}}_{turn}$,time $(sec)$,,
cum_tur_t,cum_turn_dur,${t}_{turn}^{cum}$,${\hat{t}}_{turn}^{cum}$,time $(sec)$,,
tur_t_max,turn_dur_max,${t}_{turn}^{m}$,${\hat{t}}_{turn}^{m}$,time $(sec)$,,
tur0,turn_start,${t}_{turn}^{0}$,${\hat{t}}_{turn}^{0}$,time $(sec)$,,
tur1,turn_stop,${t}_{turn}^{1}$,${\hat{t}}_{turn}^{1}$,time $(sec)$,,
tur_l,turn_length,${turn}_{l}$,${\hat{turn}}_{l}$,counts $(#)$,,
tur_id,turn_id,${turn}_{id}$,${\hat{turn}}_{id}$,counts $(#)$,,
tur_tr,turn_dur_ratio,${r}_{turn}$,${\hat{r}}_{turn}$,% time turning,,
tur_N,num_turns,${N}_{turns}$,${\hat{N}}_{turns}$,# turns,,
Ltur_d,Lturn_dst,${d}_{Ltur}$,${\hat{d}}_{Ltur}$,distance $(mm)$,,
Ltur_sd,scaled_Lturn_dst,${d}_{Ltur}^{*}$,${\hat{d}}_{Ltur}^{*}$,scaled distance $(-)$,,
Ltur_std,Lturn_straight_dst,${d}_{Ltur}^{st}$,${\hat{d}}_{Ltur}^{st}$,distance $(mm)$,,
